strategy,model,threshold,cal_accuracy,cal_recall,cal_f1,test_accuracy,test_recall,test_f1,test_precision,test_auc,test_min_acc_rec_f1,meets_0_90_all,n_features,blend_members,blend_weights
S1_highcol_interactions,LR_bal,0.485,0.6897488119484046,0.7635154259835834,0.7024739583333334,0.6868295994568907,0.7587036512878573,0.6991848712096511,0.6483250695368243,0.7578896736821392,0.6868295994568907,False,43,,
S1_highcol_interactions,RF_bal,0.5,0.688662593346911,0.7408717803566374,0.695403825717322,0.6879158180583842,0.7377582790829323,0.6940025294548359,0.6551464119643081,0.7582388826318156,0.6879158180583842,False,43,,
S1_highcol_interactions,XGB_bal,0.505,0.691785471826205,0.7533257854514577,0.7010404319768208,0.6926001357773252,0.7519105575997735,0.7012010030355021,0.6568991097922848,0.7632234244436736,0.6926001357773252,False,43,,
S1_highcol_interactions,LGBM_bal,0.505,0.6908350305498981,0.7449759411265213,0.6980506564116165,0.688662593346911,0.7422870082083215,0.6958079066065269,0.6548064918851436,0.7609658368723878,0.688662593346911,False,43,,
S1_highcol_interactions,CAT_bal,0.52,0.6930753564154786,0.7349278233795641,0.6967196619038036,0.693346911065852,0.7336541183130484,0.6965401410816258,0.6630003836807776,0.7647884847430165,0.693346911065852,False,43,,
S2_transform_copies,LR_bal,0.475,0.6926001357773252,0.7615341069912256,0.7038587311968607,0.6879837067209776,0.7544579677328049,0.6987809673613842,0.6507568359375,0.7569956093959312,0.6879837067209776,False,82,,
S2_transform_copies,RF_bal,0.465,0.6858112695179905,0.7928106425134447,0.7076806467913087,0.6859470468431772,0.793942824794792,0.7080651268458917,0.6389521640091116,0.7561475621740027,0.6859470468431772,False,82,,
S2_transform_copies,XGB_bal,0.52,0.6923285811269518,0.731106708180017,0.6951022604951561,0.6923964697895452,0.7302575714690065,0.6949027001548718,0.6628131021194605,0.7643540555880227,0.6923964697895452,False,82,,
S2_transform_copies,LGBM_bal,0.52,0.6906313645621182,0.7228983866402491,0.6915318486427943,0.6877800407331975,0.7176620435890179,0.688013024896547,0.6607166123778502,0.7617402420187354,0.6877800407331975,False,82,,
S2_transform_copies,CAT_bal,0.515,0.693550577053632,0.7441268044155109,0.6996673320026613,0.6938900203665987,0.7428530993489952,0.6995402145665356,0.6609998740712757,0.765381960838075,0.6938900203665987,False,82,,
S3_domain_aggregates,LR_bal,0.48,0.6908350305498981,0.7533257854514577,0.7003947368421053,0.6876442634080109,0.747240305689216,0.6965239759910297,0.6522544780728845,0.7566983266038607,0.6876442634080109,False,42,,
S3_domain_aggregates,RF_bal,0.5,0.6871690427698575,0.7354939145202377,0.6928409545393948,0.6881873727087576,0.7414378714973111,0.6952425187446089,0.6544659587757652,0.7567337626979029,0.6881873727087576,False,42,,
S3_domain_aggregates,XGB_bal,0.485,0.6914460285132383,0.7807812057741297,0.7082611207394569,0.6912423625254582,0.7796490234927823,0.707824746241809,0.6481176470588236,0.7636220666522091,0.6912423625254582,False,42,,
S3_domain_aggregates,LGBM_bal,0.49,0.6885268160217244,0.7656382677611095,0.702232606438214,0.686897488119484,0.7632323804132465,0.7004805818937524,0.6472635621699472,0.7624323815064288,0.686897488119484,False,42,,
S3_domain_aggregates,CAT_bal,0.5,0.6926001357773252,0.7659213133314464,0.7050547159979156,0.693346911065852,0.7649306538352675,0.7052913159783388,0.6542791429609006,0.765403547494633,0.693346911065852,False,42,,
S4_probability_blend,blend_dirichlet_search,0.515,,,,0.6942294636795655,0.7427115765638268,0.6997333333333333,0.6614570204184522,0.76550627338893,0.6942294636795655,False,37,"['S1_highcol_interactions', 'S2_transform_copies', 'S3_domain_aggregates']","{'S1_highcol_interactions': 0.44968500036540143, 'S2_transform_copies': 0.5315595977823262, 'S3_domain_aggregates': 0.018755401852272428}"
S5_combined_top2_features,LR_bal,0.475,0.6902919212491514,0.7786583639966035,0.7069253501220609,0.6854718262050238,0.7707330880271723,0.7015780998389693,0.6438113252157466,0.7578643384445022,0.6854718262050238,False,88,,
S5_combined_top2_features,RF_bal,0.46,0.6854039375424305,0.7980469855646759,0.7087732528909,0.6837746096401901,0.7964902349278233,0.7073017468895312,0.6360759493670886,0.7561670437160635,0.6837746096401901,False,88,,
S5_combined_top2_features,XGB_bal,0.525,0.691581805838425,0.7213416360033965,0.6917283029110403,0.6928716904276986,0.7236060005660911,0.6932881355932203,0.6654086413326392,0.7639596513073573,0.6928716904276986,False,88,,
S5_combined_top2_features,LGBM_bal,0.52,0.6904276985743381,0.7228983866402491,0.691391445587439,0.6883910386965377,0.7216246815737334,0.6896131998918041,0.6603211603211603,0.7616246823123699,0.6883910386965377,False,88,,
S5_combined_top2_features,CAT_bal,0.525,0.6923964697895452,0.7240305689215963,0.6930840615051141,0.6947046843177189,0.7261534106991225,0.6953045599295345,0.6669699727024567,0.7651332988045313,0.6947046843177189,False,88,,
